groupId,severity,issueCode,variantClassification,variantConfidence,variantSignals,variantAttributes,intentKey,signals,pageCount,pageTypes,primaryUrl,primaryInboundInternalLinks,competingUrls,sampleTitles,sharedTitle,sharedMetaDescription,sharedContentHash,recommendation
CAN-0011,medium,content_cannibalization_duplicate_description,true_cannibalization,none,,,starting suit suite suits track,duplicate_meta_description,5,collection,https://triprindia.com/collections/track-suite,968,https://triprindia.com/collections/track-suite/half-sleeve-tracksuit|https://triprindia.com/collections/track-suite/full-sleeve-tracksuit|https://triprindia.com/collections/track-suite/hooded-tracksuit|https://triprindia.com/collections/track-suite/combo-tracksuit,"Buy Track Suit For Men Starting at Rs.379 Online – TRIPR|Buy Track Suit For Men Starting at Rs.379 Online – Tagged ""half sleeve tracksuit"" – TRIPR|Buy Track Suit For Men Starting at Rs.379 Online – Tagged ""full sleeve tracksuit"" – TRIPR|Buy Track Suit For Men Starting at Rs.379 Online – Tagged ""hooded tracksuit"" – TRIPR|Buy Track Suit For Men Starting at Rs.379 Online – Tagged ""combo tracksuit"" – TRIPR",,shop track suit for men starting at ₹379 online. explore various top and bottom matching sets of track suits at budget friendly prices.,,"Choose a primary URL for the shared intent, strengthen its internal links, and rewrite competing pages for more specific long-tail intent."
CAN-0012,medium,content_cannibalization_duplicate_description,true_cannibalization,none,,,fit loose neck pant plain round suit track tracksuit tshirt,duplicate_meta_description,4,product,https://triprindia.com/products/track-suit-for-loose-fit-t-shirt-matching-plain-track-pant,42,https://triprindia.com/products/track-suit-for-round-neck-plain-t-shirt-plain-loose-fit-track-pant|https://triprindia.com/products/track-suit-for-round-neck-printed-t-shirt-plain-loose-fit-track-pant|https://triprindia.com/products/high-neck-t-shirt-with-plain-track-pant-track-suit,Men Tracksuit Round Neck Plain Tshirts Loose Fit Plain Trackpants – TRIPR|Men Tracksuit Round Neck Printed Tshirts Loose Fit Plain Trackpants – TRIPR|Men Tracksuit High Neck Tshirts Loose Fit Plain Trackpants – TRIPR|Men Tracksuit Oversized Back Printed Tshirts Loose Fit Plain Trackpant – TRIPR,,"product description: stylish men’s tracksuits featuring printed and solid t-shirts, oversized tees, polos, and matching bottom wear for a trendy coordinated look. crafted from soft, breathable premium fabric ensuring maximum comfort and durability for every...",,"Choose a primary URL for the shared intent, strengthen its internal links, and rewrite competing pages for more specific long-tail intent."
CAN-0013,medium,content_cannibalization_duplicate_description,true_cannibalization,none,,,back graphic matching outfit oversize oversized pant plain printed sets track tracksuit tshirt,duplicate_meta_description,3,product,https://triprindia.com/products/outfit-set-for-men-over-sized-tshirt-matching-plain-trackpant-10-variants,1,https://triprindia.com/products/graphic-printed-oversize-t-shirts-and-track-pants-tracksuit-for-men|https://triprindia.com/products/graphics-printed-oversize-t-shirts-and-track-pants-tracksuit,Oversized Back Printed Tshirts Plain Matching Trackpants Outfit Sets – TRIPR|Men Tracksuit Oversized Back Printed Tshirts Plain Trackpants – TRIPR|Men Outfit Set - Oversized Printed T shirts & Plain Track Pants - 11 V – TRIPR,,"product description: trendy men’s oversized tracksuit featuring a stylish printed t-shirt paired with comfortable jogger pants designed for a clean, sporty look made from soft, breathable fabric for all-day comfort and ease of movement perfect for casual we...",,"Choose a primary URL for the shared intent, strengthen its internal links, and rewrite competing pages for more specific long-tail intent."
CAN-0014,medium,content_cannibalization_duplicate_description,true_cannibalization,none,,,cargo jogger pant,duplicate_meta_description,2,collection,https://triprindia.com/collections/cargo-pants-for-men,968,https://triprindia.com/collections/cargo-pants-for-men/cargo-pants-combo,"Buy Cargo Pants and Joggers For Men Online – TRIPR|Buy Cargo Pants and Joggers For Men Online – Tagged ""cargo pants combo"" – TRIPR",,buy cargo pants & joggers for men starting at rs.299. online sale on huge variety of men cargo pants & joggers at tripr india - get the perfect cargo pant and enjoy ✓fastest delivery,,"Choose a primary URL for the shared intent, strengthen its internal links, and rewrite competing pages for more specific long-tail intent."
CAN-0015,medium,content_cannibalization_duplicate_description,true_cannibalization,none,,,collar copy full mandarin neck seelve sleeve solid tshirt zip,duplicate_meta_description,2,product,https://triprindia.com/products/men-solid-dark-grey-mandarin-collar-full-seelve-t-shirt-copy,1,https://triprindia.com/products/men-mandarin-collar-full-sleeve-zip-neck-contrast-t-shirts,Men Brown Mandarin Collar Full Sleeve Zip Neck T-Shirt – TRIPR|Men Mandarin Collar Full Sleeve Zip Neck Contrast T-Shirts – TRIPR,,"fabric & care: cotton blend fabric. 170 to 180 gsm ,regular machine wash.shipping/delivery: the order will be dispatched within 24-48 hours, and you can expect to receive your order within 4-5 business days.return and exchange: we have an easy 7 days return...",,"Choose a primary URL for the shared intent, strengthen its internal links, and rewrite competing pages for more specific long-tail intent."
CAN-0016,medium,content_cannibalization_duplicate_description,true_cannibalization,none,,,tripr is an online fashion portal which offers stylish and trendy clothing for men. we ...,duplicate_meta_description,2,home|unknown,https://triprindia.com/,968,https://triprindia.com/collections,TRIPR - The Power of Fashion|Collections – TRIPR,,"tripr is an online fashion portal which offers stylish and trendy clothing for men. we provide the customers with a wide range of designer wear, branded clothes, t-shirts, tops, jeans, shorts, jackets & coats for men at unbeat . imagine the next level of fa...",,"Choose a primary URL for the shared intent, strengthen its internal links, and rewrite competing pages for more specific long-tail intent."
CAN-0017,medium,content_cannibalization_variant_serp_risk,variant_serp_risk,high,color_variant|model_code_variant|variant_family,code:os10|code:os11|code:os3|code:os5|code:os6|code:os8|code:os9|color:beige|color:black|color:blue|color:brown|color:green|color:grey|color:maroon|color:multi|color:navy|color:navyblue|color:olive|color:olivegreen|color:white|variant_family,baggy cargo fit jogger over oversized pocket pockets printed,duplicate_title,28,product,https://triprindia.com/products/men-4-pockets-dual-color-baggy-cargo-pant-black-beige-os8,3,https://triprindia.com/products/mens-multi-pockets-all-over-printed-baggy-fit-oversized-cargo-jogger-grey-os6|https://triprindia.com/products/mens-multi-pockets-all-over-printed-baggy-fit-oversized-cargo-jogger-black-brown-os5|https://triprindia.com/products/men-multi-pockets-anime-printed-baggy-cargo-grey-os9|https://triprindia.com/products/men-multi-pockets-colorblocked-plain-baggy-cargo-grey|https://triprindia.com/products/multi-pockets-colorblocked-plain-baggy-cargo-black-os11|https://triprindia.com/products/men-multi-pockets-designing-printed-baggy-cargo-olive-green-os10|https://triprindia.com/products/men-4-pockets-dual-color-baggy-cargo-pant-navyblue-grey-os8|https://triprindia.com/products/men-4-pockets-dual-color-baggy-cargo-pant-grey-black-os8|https://triprindia.com/products/men-multi-pockets-designing-printed-baggy-cargo-grey-os10|https://triprindia.com/products/men-multi-pockets-designing-printed-baggy-cargo-maroon|https://triprindia.com/products/men-4-pockets-dual-color-baggy-cargo-pant-maroon-black-os8|https://triprindia.com/products/men-4-pockets-dual-color-baggy-cargo-pant-olivegreen-grey-os8|https://triprindia.com/products/men-multi-pockets-anime-printed-baggy-cargo-olivegreen-os9|https://triprindia.com/products/men-multi-pockets-anime-printed-baggy-cargo-black-os9|https://triprindia.com/products/men-multi-pockets-designing-printed-baggy-cargo-black-os10|https://triprindia.com/products/men-multi-pockets-designing-printed-baggy-cargo-beige-os10|https://triprindia.com/products/men-4-pockets-dual-color-baggy-cargo-pant-black-grey-os8|https://triprindia.com/products/mens-multi-pockets-plain-baggy-fit-solid-cargo-jogger-5-colors|https://triprindia.com/products/mens-multi-pockets-all-over-printed-baggy-cargo-pants-os6|https://triprindia.com/products/mens-multi-pockets-plain-baggy-fit-oversized-cargo-jogger-grey|https://triprindia.com/products/mens-multi-pockets-plain-baggy-fit-oversized-cargo-jogger-black|https://triprindia.com/products/mens-multi-pockets-plain-baggy-fit-oversized-cargo-jogger-white|https://triprindia.com/products/mens-multi-pockets-plain-baggy-fit-oversized-cargo-jogger-beige|https://triprindia.com/products/mens-multi-pockets-plain-baggy-fit-oversized-cargo-jogger-olive-green|https://triprindia.com/products/mens-multi-pockets-all-over-printed-baggy-fit-oversized-cargo-jogger-maroon-os6|https://triprindia.com/products/mens-multi-pockets-all-over-printed-baggy-fit-oversized-cargo-jogger-black-os3|https://triprindia.com/products/mens-multi-pockets-all-over-printed-baggy-fit-oversized-cargo-jogger-black-os6,Buy Navy Blue Baggy fit Multi Pocket Cargo Joggers Online – TRIPR,buy navy blue baggy fit multi pocket cargo joggers online – tripr,,,"Keep the variant pages only if they serve distinct demand; otherwise consolidate, canonicalize, or rewrite variant titles, meta descriptions, and body copy with clear color, pack, design, or use-case differences."
CAN-0018,medium,content_cannibalization_variant_serp_risk,variant_serp_risk,high,color_variant|combo_variant|model_code_variant|pack_variant|variant_family,code:vt10|code:vt11|code:vt2|code:vt4|code:vt5|code:vt6|color:beige|color:black|color:blue|color:charcoal|color:green|color:grey|color:maroon|color:navy|color:olive|color:olivegreen|color:red|color:white|combo|pack_of_2|pack_of_3|pack_of_4|variant_family,neck olivegreen plain top vest,duplicate_meta_description,26,product,https://triprindia.com/products/men-top-printed-round-neck-vest-vt5-black-all-over-print,4,https://triprindia.com/products/pack-of-2-men-plain-v-neck-top-vest-vt2-beige-vt2-olive-green|https://triprindia.com/products/pack-of-2-plain-vest-vt2-olive-vt2-navy-blue|https://triprindia.com/products/pack-of-2-plain-v-neck-vest-vt2-grey-olive-green|https://triprindia.com/products/plain-gym-vest-for-men-black|https://triprindia.com/products/men-v-neck-plain-vest-grey-vt2|https://triprindia.com/products/men-v-neck-plain-vest-beige-vt2|https://triprindia.com/products/mens-top-printed-vest-pack-of-4-black-grey-navy-charcoal-black|https://triprindia.com/products/mens-combo-pack-back-print-sleeve-less-baniyans|https://triprindia.com/products/pack-of-3-men-round-neck-plain-waffle-vest-vt10-maroon-red-white|https://triprindia.com/products/men-v-neck-plain-vest-navy-blue-vt2|https://triprindia.com/products/plain-gym-vest-for-men-olive-green|https://triprindia.com/products/pack-of-4-mens-printed-vests-grey|https://triprindia.com/products/pack-of-4-mens-baniyans-black-grey|https://triprindia.com/products/pack-of-4-mens-round-neck-printed-vest-vt-7-black-vt-4-black-vt-8-black-vt-5-black|https://triprindia.com/products/pack-of-4-mens-round-neck-printed-vest-vt-4-black-vt-5-black-vt-6-black-vt-8-black|https://triprindia.com/products/pack-of-3-black-beige-round-neck-printed-sleeveless-vest-combo-1|https://triprindia.com/products/pack-of-3-round-neck-printed-vest-vt4-black-vt6-black-vt5-black|https://triprindia.com/products/pack-of-2-men-round-neck-printed-vest-black-04|https://triprindia.com/products/men-top-printed-round-neck-vest-vt6-black|https://triprindia.com/products/men-casual-round-neck-all-over-printed-top-vest-black-vt11|https://triprindia.com/products/men-casual-printed-vest-beige|https://triprindia.com/products/men-printed-top-tank-beige|https://triprindia.com/products/men-printed-top-tank-black-02|https://triprindia.com/products/men-printed-top-tank-black-01|https://triprindia.com/products/casual-round-neck-printed-sleeve-less-vest-black,(Pack Of 2) Mens Beige & Olivegreen Plain V-Neck Vests – TRIPR|(Pack Of 2) Men Printed Top Tank Olive & Navy – TRIPR|(Pack Of 2) Plain Grey & Olive V-Neck Vests – TRIPR|Men Black V-neck Plain Vest – TRIPR|Men V-neck Plain Grey Vest – TRIPR,,"product description: fabric: crafted with a soft and breathable cotton blend for all-day comfort. stylish printed design: trendy prints that add a touch of personality to your daily gym look. versatile gym wear: perfectly designed for workouts, casual outin...",,"Keep the variant pages only if they serve distinct demand; otherwise consolidate, canonicalize, or rewrite variant titles, meta descriptions, and body copy with clear color, pack, design, or use-case differences."
CAN-0019,medium,content_cannibalization_variant_serp_risk,variant_serp_risk,high,color_variant|model_code_variant|pack_variant|variant_family,code:j59|code:j61|code:j62|code:j63|color:beige|color:black|color:blue|color:charcoal|color:green|color:grey|color:maroon|color:navy|color:olive|color:olivegreen|pack_of_2|variant_family,ankle charcoal cuffed fit jogger printed,duplicate_meta_description,23,product,https://triprindia.com/products/pack-of-2-men-printed-track-pant-black-grey,2,https://triprindia.com/products/men-printed-ankle-fit-cuffed-jogger-charcoal-grey-j62|https://triprindia.com/products/men-printed-ankle-fit-cuffed-jogger-j62-olivegreen-grey|https://triprindia.com/products/men-printed-ankle-fit-cuffed-jogger-j62-darkgrey-grey|https://triprindia.com/products/men-color-cuffed-jogger-pant-j63-olive-green|https://triprindia.com/products/men-color-cuffed-jogger-pant-j63-beige|https://triprindia.com/products/men-color-cuffed-jogger-pant-j63-grey|https://triprindia.com/products/men-color-cuffed-jogger-pant-j63-navy|https://triprindia.com/products/men-cuffed-printed-jogger-black-j61|https://triprindia.com/products/6-color-variants-with-mens-design-printed-trackpants-j59|https://triprindia.com/products/men-printed-ankle-fit-cuffed-jogger-j62-grey-black|https://triprindia.com/products/men-printed-ankle-fit-cuffed-jogger-j62-navy-grey|https://triprindia.com/products/men-printed-ankle-fit-cuffed-jogger-j62-beige-black|https://triprindia.com/products/men-cuffed-jogger-with-printed-j61-olivegreen|https://triprindia.com/products/men-printed-cuffed-jogger-navy-blue|https://triprindia.com/products/men-printed-cuffed-jogger-maroon|https://triprindia.com/products/men-printed-cuffed-jogger-grey|https://triprindia.com/products/men-printed-cuffed-jogger-pant-j62-black|https://triprindia.com/products/men-maroon-printed-jogger|https://triprindia.com/products/men-color-blocked-cuffed-jogger-pant-j63-black|https://triprindia.com/products/men-printed-cuffed-jogger-olive-green|https://triprindia.com/products/men-printed-cuffed-jogger-black|https://triprindia.com/products/men-printed-cuffed-jogger-beige,Men Printed Ankle Fit Cuffed Jogger / Charcoal & Grey – TRIPR|Men Printed Ankle Fit Cuffed Olivegreen & Grey Jogger – TRIPR|Men Printed Ankle Fit Cuffed Darkgrey & Grey Jogger – TRIPR|Men Plain Ankle Fit Cuffed Olive Green Jogger – TRIPR|Men Plain Ankle Fit Cuffed Beige Jogger – TRIPR,,"product description: trendy ankle-fit design – modern slim-fit style with cuffed bottoms for a sharp and stylish look. fabric – crafted from soft, breathable, and durable material for all-day comfort. stylish prints – features eye-catching prints that add a...",,"Keep the variant pages only if they serve distinct demand; otherwise consolidate, canonicalize, or rewrite variant titles, meta descriptions, and body copy with clear color, pack, design, or use-case differences."
CAN-0020,medium,content_cannibalization_variant_serp_risk,variant_serp_risk,high,color_variant|model_code_variant|variant_family,code:os10|code:os11|code:os5|code:os8|code:os9|color:beige|color:black|color:blue|color:brown|color:green|color:grey|color:maroon|color:multi|color:navy|color:navyblue|color:olive|color:olivegreen|color:white|variant_family,baggy cargo fit jogger over oversized pocket pockets printed,duplicate_meta_description,23,product,https://triprindia.com/products/men-4-pockets-dual-color-baggy-cargo-pant-black-beige-os8,3,https://triprindia.com/products/mens-multi-pockets-all-over-printed-baggy-fit-oversized-cargo-jogger-black-brown-os5|https://triprindia.com/products/men-multi-pockets-anime-printed-baggy-cargo-grey-os9|https://triprindia.com/products/men-multi-pockets-colorblocked-plain-baggy-cargo-grey|https://triprindia.com/products/multi-pockets-colorblocked-plain-baggy-cargo-black-os11|https://triprindia.com/products/men-multi-pockets-designing-printed-baggy-cargo-olive-green-os10|https://triprindia.com/products/men-4-pockets-dual-color-baggy-cargo-pant-navyblue-grey-os8|https://triprindia.com/products/men-4-pockets-dual-color-baggy-cargo-pant-grey-black-os8|https://triprindia.com/products/men-multi-pockets-designing-printed-baggy-cargo-grey-os10|https://triprindia.com/products/men-multi-pockets-designing-printed-baggy-cargo-maroon|https://triprindia.com/products/men-4-pockets-dual-color-baggy-cargo-pant-maroon-black-os8|https://triprindia.com/products/men-4-pockets-dual-color-baggy-cargo-pant-olivegreen-grey-os8|https://triprindia.com/products/men-multi-pockets-anime-printed-baggy-cargo-olivegreen-os9|https://triprindia.com/products/men-multi-pockets-anime-printed-baggy-cargo-black-os9|https://triprindia.com/products/men-multi-pockets-designing-printed-baggy-cargo-black-os10|https://triprindia.com/products/men-multi-pockets-designing-printed-baggy-cargo-beige-os10|https://triprindia.com/products/men-4-pockets-dual-color-baggy-cargo-pant-black-grey-os8|https://triprindia.com/products/mens-multi-pockets-plain-baggy-fit-solid-cargo-jogger-5-colors|https://triprindia.com/products/mens-multi-pockets-plain-baggy-fit-oversized-cargo-jogger-grey|https://triprindia.com/products/mens-multi-pockets-plain-baggy-fit-oversized-cargo-jogger-black|https://triprindia.com/products/mens-multi-pockets-plain-baggy-fit-oversized-cargo-jogger-white|https://triprindia.com/products/mens-multi-pockets-plain-baggy-fit-oversized-cargo-jogger-beige|https://triprindia.com/products/mens-multi-pockets-plain-baggy-fit-oversized-cargo-jogger-olive-green,Buy Navy Blue Baggy fit Multi Pocket Cargo Joggers Online – TRIPR,,"buy baggy cargo jogger for men on clearance sale for ₹399 online. heavy fabric, multi pockets, baggy oversized cargo jogger with cuff ankle. explore huge collections of trendy cargo joggers under 300 or 500 only at tripr india and enjoy fastest delivery | e...",,"Keep the variant pages only if they serve distinct demand; otherwise consolidate, canonicalize, or rewrite variant titles, meta descriptions, and body copy with clear color, pack, design, or use-case differences."
CAN-0021,medium,content_cannibalization_variant_serp_risk,variant_serp_risk,high,color_variant|combo_variant|pack_variant|variant_family,color:beige|color:black|color:blue|color:brown|color:charcoal|color:dark|color:green|color:grey|color:maroon|color:navy|color:olive|color:white|combo|pack_of_2|pack_of_3|pack_of_4|variant_family,full neck plain round sleeve tshirt variants,duplicate_meta_description,21,product,https://triprindia.com/products/mens-round-neck-full-sleeve-plain-t-shirts-pack-of-4-2-variants,4,https://triprindia.com/products/mens-round-neck-full-sleeve-plain-t-shirts-pack-of-3|https://triprindia.com/products/men-full-sleeve-plain-round-neck-pack-of-3-t-shirts-maroon-white-navy|https://triprindia.com/products/men-full-sleeve-plain-round-neck-pack-of-2-t-shirts-black-beige|https://triprindia.com/products/men-full-sleeve-plain-round-neck-pack-of-2-t-shirts-brown-black|https://triprindia.com/products/men-full-sleeve-plain-round-neck-pack-of-2-t-shirts-navy-charcoal-black|https://triprindia.com/products/men-full-sleeve-plain-round-neck-pack-of-2-t-shirts-grey-charcoal-black|https://triprindia.com/products/men-full-sleeve-plain-round-neck-t-shirt-charcoal-black|https://triprindia.com/products/men-full-sleeve-plain-round-neck-t-shirt-brown|https://triprindia.com/products/men-full-sleeve-plain-round-neck-t-shirt-beige|https://triprindia.com/products/men-full-sleeve-plain-round-neck-pack-of-2-t-shirts-black-white|https://triprindia.com/products/men-full-sleeve-plain-round-neck-t-shirt-white|https://triprindia.com/products/mens-round-neck-full-sleeve-plain-t-shirts-9-colours|https://triprindia.com/products/men-full-sleeve-plain-round-neck-t-shirt-dark-grey|https://triprindia.com/products/mens-round-neck-full-sleeve-plain-t-shirts-pack-of-2-3-variants|https://triprindia.com/products/men-full-sleeve-plain-round-neck-pack-of-2-t-shirts-olive-navy|https://triprindia.com/products/men-full-sleeve-plain-round-neck-t-shirt-maroon|https://triprindia.com/products/men-full-sleeve-plain-round-neck-t-shirt-navy-blue|https://triprindia.com/products/men-full-sleeve-plain-t-shirt-03|https://triprindia.com/products/men-full-sleeve-plain-t-shirt-01|https://triprindia.com/products/men-full-sleeve-plain-t-shirt-02,Mens Round Neck Full Sleeve Plain T-shirts (Pack Of 3) - 2 Variants – TRIPR|Mens Round Neck Full Sleeve Plain T-shirts (Pack Of 3) – TRIPR|Mens Round Neck Full Sleeve Plain Black & Beige T-shirts (Pack Of 2) – TRIPR|Mens Round Neck Full Sleeve Plain T-shirts (Pack Of 2) Brown & Black – TRIPR|Mens Round Neck Full Sleeve Plain T-shirts Navy & Charcoalblack (Pack – TRIPR,,"product description: classic round neck design: features a versatile round neck that suits all casual and semi-casual occasions. comfortable daily wear: made with breathable, soft fabric to ensure all-day comfort. full sleeve style: offers added coverage fo...",,"Keep the variant pages only if they serve distinct demand; otherwise consolidate, canonicalize, or rewrite variant titles, meta descriptions, and body copy with clear color, pack, design, or use-case differences."
